100,29.0275,13.0818
200,35.5458,17.6507
300,39.2428,19.0338
400,30.0528,16.2099
500,38.5231,22.6525
600,40.6963,19.8953
700,36.1206,13.0416
800,44.1923,22.2744
900,42.8761,24.1064
1000,50.8517,25.2534
1100,45.9634,24.1643
1200,39.3000,19.0867
1300,34.9252,21.9315
1400,32.9855,20.6459
1500,38.2139,18.6283
1600,48.7253,27.8013
1700,51.7451,21.3234
1800,51.5849,26.0238
1900,51.9595,26.5143
2000,49.3959,24.8531
2100,57.9774,26.8938
2200,53.7845,23.7487
2300,60.0745,29.9398
2400,56.5077,23.7242
2500,55.8891,24.9054
2600,61.4946,34.3789
2700,59.7929,25.8881
2800,61.9250,31.9014
2900,66.9624,36.2049
3000,68.5407,33.7364
3100,67.7298,33.2958
3200,72.7757,37.2024
3300,70.9838,36.5025
3400,71.7563,35.2411
3500,71.4775,32.3455
3600,80.5433,32.8192
3700,80.3411,36.7891
3800,85.9915,41.4535
3900,79.6814,38.9478
4000,90.3543,41.3713
4100,89.5003,38.0679
4200,91.0849,37.6170
4300,97.4818,43.3130
4400,73.9262,44.9174
4500,91.7298,37.9456
4600,96.6072,43.6050
4700,101.8138,43.6361
4800,94.2647,43.9965
4900,98.8134,43.3623
5000,82.5494,40.6172
5100,103.0188,45.6797
5200,103.8166,39.8354
5300,96.9801,41.2490
5400,95.4887,43.4172
5500,83.1768,37.4188
5600,119.1488,49.1220
5700,119.1556,47.5933
5800,125.7270,49.1242
5900,112.8141,45.0848
6000,109.7039,45.5942
6100,111.5897,47.9410
6200,118.1859,48.4203
6300,122.6320,44.6690
6400,123.3369,47.3181
6500,112.3376,51.1057
6600,121.8970,45.3116
6700,126.5531,51.0473
6800,109.2999,46.0366
6900,119.8616,46.7651
7000,129.3719,41.9867
7100,115.7132,46.1454
7200,128.3266,49.8539
7300,136.1449,50.3790
7400,130.5525,48.5530
7500,129.7956,48.8214
7600,126.1042,46.6610
7700,136.8405,49.0682
7800,122.4983,56.2281
7900,133.2029,48.6054
8000,141.0513,44.7127
8100,105.4919,34.5369
8200,126.6130,49.5828
8300,125.1441,42.3134
8400,133.6183,45.5949
8500,134.2020,47.2592
8600,126.3857,50.2187
8700,131.9413,49.3983
8800,131.1304,49.6929
8900,118.2612,45.3522
9000,119.8460,44.8689
9100,132.1944,45.7864
9200,140.1315,49.0196
9300,131.5556,52.7764
9400,128.3646,52.4995
